MONUMENT_RECORD_NO,KNOWN_AS,EASTING,NORTHING,MONUMENT_TYPE,PERIOD,PERIOD_TEXT,CONSTRUCTION,DEMOLITION,STOREYS,BAYS,ROOF,EXTANT,CONDITION,CLASS,BROAD_TERM,NARROW_TERM,POSTAL_ADDRESS,LISTED_BUILDING_GRADE,LISTED_BUILDING_NO,AMENDED,MONUMENT_DESC,Location 1
1378M,"Old Mill House, Limekiln Dock",357808,172543,Mill,PM2,Post-medieval 1700-1900,,,,,Pitched,0,,Industrial,Industrial building,Mill,"Former Graham's Timber Yard, Hotwell Road",,,36804,"Old Mill House, Limekiln Dock. The building was located on the west side of Limekiln Dock of early to mid nineteenth-century date. The building, referred to as ""Old Mill"" on a plan of nineteenth-century date, measured 5.8 metres wide by at least 12.4 metres long and was aligned north-north-east to south-south-west. The building was of three storeys and had four bays with a pitched pantile roof. The building was constructed of Pennant sandstone rubble bonded in a grey-white lime mortar and the walls were all approximately 0.6 metres wide. The building had a flagstone floor. In the east wall of the building there were four cellar lights, all 1.3 metres wide. The south wall of the building was knocked through during between the 1850s and 1880s to create a single large warehouse in combination with the Engine House (BUAD 1379M). The building was excavated in 1998 (BUAD 3398).","(51.45029, -2.608557)"
1556M,"Queens Hall, Castle Street",359151,173145,Cinema,Mod,Modern 1900-,1910,1933,,, ,0,,Recreational,Theatre,Cinema,"Queens Hall, Peter Street",,,38302,"The Queen's Hall, located on the north side of Peter Street. The Queen's Hall was Bristol's first purpose-built cinema and was built for British Electric Theatres, which also owned the Kings Hall in Old Market (BUAD 1558M) (Winstone, 1972, 8). The building was unique in Bristol in that part of its roof could be opened for ventilation. This sliding roof was operated by two winches that were attached to steel cables on the roof (Winstone, 1971, 63). Photographs of the building taken in 1925 show the front of the builing with an illuminated sign for the Queen's Picture House and a view of the internal area with the sliding roof open above an empty auditorium (Winstone, 1971 pl.169-170). It opened on 24th March 1910.
The Queen's Hall was re-named the Queen's Picture House in 1915 (Winstone, 1971 pl.169-170). It was demolished in 1933 and replaced by the News Theatre (BUAD 1557M).
The site of the bulding now lies within Castle Park.","(51.455801, -2.5893013)"
22M,"1, King Street",358899,172713,House,PM1,Post-medieval 1540-1700,,,,,Gabled front,0,,Domestic,Dwelling,House,30 Welsh Back,,,35223,No.1 King Street. The building was part of a terrace of five houses built in c.1665 and was destroyed by bombing on 11 April 1941. Timber-framed front; gabled front and rear.,"(51.451899, -2.5928776)"
230M,"19, Jacob's Wells Road",357705,172808,Warehouse,PM2,Post-medieval 1700-1900,,,,,Various,1,,Commercial,Warehouse,Warehouse,"19, Jacob's Wells Road",,,35264,"No.19 Jacobs Wells Road. Mostly one and two storey buildings forming a complex at No.19, Jacob's Wells Road, also extending to the rear of No.17. A street elevation of central vehicle entrance with one doorway to each side; 3-light casement in centre af first-floor, 1-light casement to right. Has a warehouse-like interior, with brick piers supporting roofs, also two arches to right of main entrance. There is a small squarish three-storey building in the south-west corner of the site. The site is cut back into one side of Constitution Hill. Possibly part of an eighteenth-century brewery. Erroneously thought to be the eighteenth-century theatre (which was in fact located further down the hill, now beneath Brandon House flats).","(51.452665, -2.6100709)"
232M,"38, King Street",358795,172727,House,PM1,Post-medieval 1540-1700,1688,1903,,,Dutch gabled front,0,,Domestic,Dwelling,House,The Theatre Royal,,,35264,"38, King Street
Theatre Royal entrance. A house forming an ""interesting"" front to the Theatre Royal and had a 'Dutch' gable to its front elevation. The building was demolished in 1903 (Pritchard, 1906 130).","(51.452017, -2.5943758)"
234M,"Lawrence, Fraser warehouse",359100,173700,Warehouse,PM2,Post-medieval 1700-1900,,,,,Flat,0,,Commercial,Warehouse,Warehouse,"St. James House, Moon Street",,,35265,"Lawrence, Fraser warehouse, located at the junction of Moon Street and Wilder Street. The main block roughly triangular in plan, with an addition to the south from the south-east corner. 3-storey; 10-window range in the curved Moon Street elevation; 1-window range at west end; 4-window range to Wilder Street; 2-window range to right return; 3-window range to east-west wall north of old yard. Mostly coursed Pennant Sandstone rubble, but some areas of ashlar. Brick north wall to old yard. Brick dressings. String course above ground-floor (not yard walls); segmental window openings, with keystones at ground-floor; parapet. Wide doorway, vermiculated voussoirs alternating with brick voussoirs, at junction of the streets, with vermiculated keystone at first-floor, grotesque head to keystone at second. Internally, cast-iron columns supporting beams. Brick and rubble 3-storey extensions to east and south-east of old yard. Entrance to the same yard through a Bath Stone ashlar gateway with four-centred arch and enlarged keystone, the jambs largely of brick.","(51.460787, -2.5900996)"
1512M,"12, Orchard Street",358415,172935,House,PM2,Post-medieval 1700-1900,1718,,,, ,1,,Domestic,Dwelling,House,"12, Orchard Street",,,37889,"No.12, Orchard Street, located on the north-western side of Orchard Street. The building is a three-storey house with a brick front. The lease for the plot was granted to Peter Wilkins on 20 February 1718 and the house was presumably built soon afterwards (Ison 1952, 152-156).
In 1875 the building was recorded in the street directory as being occupied by Captain William Reed.
The building has a Grade II* listing (Listed Building number 901-1/15/151).","(51.453859, -2.5998686)"
12M,"8, King Street",358837,172708,House,PM1,Post-medieval 1540-1700,1665,,,,Gabled,1,,Domestic,Dwelling,House,7 & 8 King Street,,,37881,"No.8 King Street, located on the south side of King Street. The house was constructed in 1665 as one of a pair with No.7 King Street (BUAD 11M). The building is a single-bay, jettied house with a gabled pantile roof. The main entrance is on the east side of the building and is reached by a set of four stone steps shaerd with No.8. On the west side of the doorway there is a lagre bay window. A pantiled pentice roof, which runs the full width of Nos.7 and 8, divides the ground from the first floor. The building is likely to have had pentices on the upper floors but these have apparently been removed. The fenestration at both first and second floors consists of six over six pane sash windows. The attic is lit by a smaller six over six pane sash.
The building was refenestrated in the eighteenth- or nineteenth-century. Restoration between 1967 and 1976, when it and No.8 formed the offices of Moxley, Jenner and Partners, architects, revealed the reuse of ship's timbers as structural elements within the building. Some laths were also found to be reused barrel staves.
The building has a Grade II* listing (Listed Building number 901-1/16/599).","(51.451849, -2.5937692)"
131M,Gate House of Royal Fort,358331,173400,Gatehouse,PM1,Post-medieval 1540-1700,,,,,Not recorded,0,,Unassigned,Building,Gatehouse,"Royal Fort Gatehouse, Tyndall Avenue",,,35226,"The gate house to the Royal Fort. The building was constructed in the mid-seventeenth century presumably as part of the Royal Fort in 1643. It was reported by Samuel Seyer to have been the governor of Bristol's residence. The piers and gates of the Royal Fort Gatehouse have a Grade II listing. These are of mid to late eighteenth-century date and are Limestone ashlar and wrought-iron. There are also large square rusticated piers, spear-headed railings and attached spear-headed 2-leaf gates and railings.
The building has a Grade II listing (Listed Building number 901-1/01/237).","(51.458034, -2.6011324)"
133M,Church of St. Mary-le-Port,358990,173025,Parish church,Med,Medieval 1200-1540,,1940,,,Gabled,1,,"Religious, Ritual and Funerary",Church,Parish church,Castle Park,,17,35342,"St. Mary-le-Port, a parish church located to on the south side of Mary-le-port Street.
Nave, chancel and north aisle. Church tower of C15. Limestone ashlar with coursed Pennant rubble. Perpendicular Gothic with a Somerset-type tower. 3 stages divided by drip moulds, with angle buttresses and an octagonal south-east stair tower. West door; 4-light window above, and a blind 2-light window in the second stage. Belfry with 2-light louvred windows, a crenellated parapet with  corner pinnacles and a south-east spirelet. Unclerestoreyed 5-bay nave had one, north, aisle and 4-centred arches with moulded capitals. Stepped buttresses on south side. Chancel of 3 bays, and a small north-east chapel with 13th.century undercroft. South chancel windows of 3 lights in a square head. 
Interior illustrated by Johnson in 1828 (M2791), showing the nave, looking east to the altar. Other artists drew the eagle lectern (M2794), a monument, monumental shields, and a coffin with well-preserved body found in 1814, (922A) (BRSMG M2793). 
The main body of the church was destroyed by bombing during the Second World War. The footprint of the church was archaeologically excavated in 1962-63 by Philip Rahtz (Watts & Rahtz 1985).","(51.454711, -2.5916044)"
136M,"27, St. Augustine's Parade",358545,172930,House,PM1,Post-medieval 1540-1700,,,,,Gabled front,0,,Domestic,Dwelling,House,"27, St.Augustine's Parade",,946,35229,"No.27, St. Augustine's Parade. C17, rebuilt C19 and late C20. Formerly timber-framed, render, and pantile roof, gabled to front and rear. Double-depth plan. 3 storeys and attic; 2-window range. C20 shop front; shallow jetty to second floor. 6/6-pane sashes in exposed frames, a single sash to the attic. Originally timber-framed, largely remodelled 1983. Nos 26-30 (qv) are now internally one building. 
Cellared. On the second-floor, in the framing between the front windows, was a reused wooden transom from a four-light window, probably 17th.century in date. In the front room of the third-floor was a plank and batten door, possibly of the 17th.century. This building was demolished and rebuilt in 1983.","(51.453824, -2.5979972)"
137M,"28, St. Augustine's Parade",358544,172934,House,PM2,Post-medieval 1700-1900,,,,,Half-hipped,0,,Domestic,Dwelling,House,"28, St.Augustine's Parade",,946,35229,"No.28, St. Augustine's Parade. Late C18. Render with limestone dressings, brick party wall stack and hipped pantile roof. Double-depth plan. 3 storeys; 1-window range. C20 shop front, and a moulded parapet coping. 2 storey 3-window canted oriel with 6/6-pane sashes, and 10/10-pane third-floor sash, in exposed frames. Nos 26-30 (qv) are now one building.
Cellared. Demolished and rebuilt in 1983.","(51.45386, -2.5980121)"
138M,"29, St. Augustine's Parade",358543,172938,House,PM2,Post-medieval 1700-1900,,,,,Hipped,0,,Domestic,Dwelling,House,"29, St.Augustine's Parade",,946,35229,"No.29, St. Augustine's Parade. Late C18, rebuilt late C20. Brick with limestone dressings, formerly timber-frame, and a pantile hipped roof. Double-depth plan. 3 storeys and attic; 2-window range. Ground-floor in 2 sections with panelled timber jambs, shop front to the left, 2-leaf door to the right. Tall windows have cambered heads with brick arches to 6/6-pane sashes; hipped dormer. The building was largely remodelled in 1983; a section of timber studwork survives in the lobby. Nos 26-30 (qv) now form internally a single building.
No cellar identified. Demolished and rebuilt in 1983. There was surviving a possible single-storey 'detached' kitchen block, with connecting link to the main building. There was a freestone fireplace.","(51.453896, -2.598027)"
118M,"The Cockpit, No.42, Old Market Street",359724,173215,Cockpit,PM2,Post-medieval 1700-1900,,,,,Not recorded,0,,Recreational,Baiting place,Cockpit,"42, Old Market Street",,,35222,"The Cockpit, No.42 Old Market Street. The building was a rectangular building, orientated east-west, and located to the to the rear of Nos.42 & 43 Old Market Street. The enterance was from No.42.","(51.456472, -2.5810629)"
1240M,Building at Alfred Parade,358667,173578,House,PM2,Post-medieval 1700-1900,,,,, ,0,,Domestic,Dwelling,House,"Gloucester House, Terrell Street",,,36074,"A building occupying a site on the northern side of Alfred Parade which is recorded by Jean Rocque's 1742 map of Bristol. The building stood within a garden plot and there was another, smaller, building in the north-west corner of the plot.","(51.459659, -2.5963175)"
1513M,"13, Orchard Street",358421,172940,House,PM2,Post-medieval 1700-1900,1718,,,, ,1,,Domestic,Dwelling,House,"13, Orchard Street",,,37889,"No.13, Orchard Street, located on the north-western side of Orchard Street. The building is a three-storey house with a brick front. The lease for the plot was granted to Peter Wilkins on 20 February 1718 and the house was presumably built soon afterwards (Ison 1952, 152-156).
In 1875 the building was recorded in the street directory as being occupied by a John Fannon.
The building has a Grade II* listing (Listed Building number 901-1/15/152).","(51.453905, -2.5997829)"
1514M,"14, Orchard Street",358427,172945,House,PM2,Post-medieval 1700-1900,1718,,,, ,1,,Domestic,Dwelling,House,"14, Orchard Street",,,37889,"No.14, Orchard Street, located on the north-western side of Orchard Street and on the southern side of its junction with Orchard Avenue. The building is a three-storey house with a brick front. The lease for the plot was granted to Peter Wilkins on 20 February 1718 and the house was presumably built soon afterwards (Ison 1952, 152-156).
In 1875 the building was recorded in the street directory as being occupied by a Michael Jackson.
The building has a Grade II* listing (Listed Building number 901-1/15/152).","(51.45395, -2.5996971)"
1516M,"16, Orchard Street",358444,172960,House,PM2,Post-medieval 1700-1900,1718,,,, ,1,,Domestic,Dwelling,House,"16, Orchard Street",,,37889,"No.16, Orchard Street, located on the north-western side of Orchard Street. The plot was leased to John Worsley on 22 July 1718 and the width of the building frontage was set at 50 feet (15.3 metres). The building was presumably constructed soon afterwards (Ison 1952, 152-156). The building is a three-storey house with a brick front.
In 1875 the building was recorded in the street directory as being occupied by Miss Ann Butcher, dress maker.
The building has a Grade II* listing (Listed Building number 901-1/15/153).","(51.454086, -2.5994542)"
1517M,"17, Orchard Street",358450,172965,House,PM2,Post-medieval 1700-1900,1718,,,, ,1,,Domestic,Dwelling,House,"17, Orchard Street",,,37890,"No.17, Orchard Street  The plot was leased to John Worsley on 22 July 1718 and the width of the building frontage was set at 50 feet (15.3 metres). The building was presumably constructed soon afterwards (Ison 1952, 152-156). The building is a three-storey house with a brick front. (Ison 1952, 152-156).
In 1875 the building was recorded in the street directory as being occupied by Richard Matthias and the Bristol Eye Hospital.
The building has a Grade II* listing (Listed Building number 901-1/15/153).","(51.454132, -2.5993685)"
1518M,"18, Orchard Street",358455,172970,House,PM2,Post-medieval 1700-1900,1718,,,, ,1,,Domestic,Dwelling,House,"18, Orchard Street",,,37890,"No.18, Orchard Street 1718 (Ison 1952, 152-156).
In 1875 the building was recorded in the street directory as being occupied by Samuel Martin, carpenter.
The building has a Grade II* listing (Listed Building number 901-1/15/153).","(51.454177, -2.5992971)"
1519M,"19, Orchard Street",358462,172975,House,PM2,Post-medieval 1700-1900,1718,,,, ,1,,Domestic,Dwelling,House,"19, Orchard Street",,,37890,"No.19, Orchard Street, located on the north-west side of Orchard Street. The building was constructed in 1718 (Ison 1952, 152-156).
In 1875 the building was recorded in the street directory as being occupied by a Mrs Bryant and also by a Mrs Pearce, a dressmaker, by 1882.
The building was converted into flats in 2003.
The works to convert the building in 2003 were monitored by John Bryant (BUAD 3892).
The building has a Grade II* listing (Listed Building number 901-1/15/153).","(51.454222, -2.599197)"
1520M,"20, Orchard Street",358480,172958,House,PM2,Post-medieval 1700-1900,1722,,,, ,1,,Domestic,Dwelling,House,"20, Orchard Street",,,37890,"No.20, Orchard Street 1722 (Pilkington 2002; Ison 1952, 152-156).
In 1875 the building was recorded in the street directory as being occupied by a Thomas Bland.
The building has a Grade II* listing (Listed Building number 901-1/15/156).","(51.454071, -2.5989359)"
1521M,"21, Orchard Street",358475,172954,House,PM2,Post-medieval 1700-1900,1722,,,, ,1,,Domestic,Dwelling,House,"21, Orchard Street",,,37890,"No.21, Orchard Street 1722 (Pilkington 2002; Ison 1952, 152-156).
In 1875 the building was recorded in the street directory as being occupied by a Thomas Cockram.
The building has a Grade II* listing (Listed Building number 901-1/15/156).","(51.454034, -2.5990074)"
1522M,"22, Orchard Street",358470,172950,House,PM2,Post-medieval 1700-1900,1722,,,, ,1,,Domestic,Dwelling,House,"22, Orchard Street",,,37890,"No.22, Orchard Street 1722 (Pilkington 2002; Ison 1952, 152-156).
In 1875 the building was recorded in the street directory as being occupied by George Hamments, tailor.
The building has a Grade II* listing (Listed Building number 901-1/15/156).","(51.453998, -2.5990789)"
1523M,"23, Orchard Street",358467,172948,House,PM2,Post-medieval 1700-1900,1722,,,, ,1,,Domestic,Dwelling,House,"23, Orchard Street",,,37890,"No.23, Orchard Street 1722 (Pilkington 2002; Ison 1952, 152-156).
In 1875 the building was recorded in the street directory as being occupied by a William Martin.
The building has a Grade II* listing (Listed Building number 901-1/15/156).","(51.45398, -2.5991218)"
235M,"Warehouse, No.16 Narrow Quay",358588,172470,Warehouse,PM2,Post-medieval 1700-1900,,,,,Hipped,1,,Commercial,Warehouse,Warehouse,"16, Narrow Quay",,,35265,"Warehouse, No.16 Narrow Quay. A three-storey; 2-bay warehouse, probably constucted of stone rubble; rendered on west and south elevations, other faces abutting adjacent buildings. Parapet to front. Double wooden doors to left at all storeys; doorway in centre of ground-floor; window to right at each storey, that on ground-floor with bars. A pulley mounting above the second-floor doorway. The roof not visible, but possibly flat. The building was subject to renovation and conversion to offices in 1996.","(51.449691, -2.5973244)"
122M,"39, Old Market Street",359717,173198,House,PM1,Post-medieval 1540-1700,1688,,,,Gabled,1,,Domestic,Dwelling,House,"38-39, Old Market Street",,,37221,"No.39 Old Market Street. The building was constructed in 1688 by the Bristol clay tobacco pipemaker Llewellyn Evans as the eastern of a pair of attached houses. It was originally a house of two storeys and attic with a double-depth plan.
In 1875 the building was recorded in the street directory as being occupied by John Nichols, butcher.
Nos.38 and 39 Old Market Street were converted to a single structure, apparently after 1896 since the Goad fire insurance plan of that year indicates that the property then comprised two shops. The main, south-facing, elevation has a slated ground-floor lean-to canopy on fluted fascia brackets to a flush twentieth century shop front with a glazed door to No.38. A half-hipped pantile roof was added to span the two properties.
The interior of the building was completely remodelled c1985.
The building has a Grade II listing (Listed Building number 901-1/12/1643).","(51.456318, -2.5811617)"
124M,"Powder Magazine, Royal Fort",358340,173350,Powder magazine,PM1,Post-medieval 1540-1700,,,,,Not recorded,0,,Defence,Magazine,Powder magazine,"School of Mathematics, University Walk",,,35223,The powder magazine of the Royal Fort. It is recorded by Samuel Seyer in 1823 as having been in or near the south-east bastion of the Royal Fort which dates to the English Civil War.,"(51.457585, -2.600997)"
3215M,"Pug Mill at Stibbs Hill, St George",363378,173307,Pug Mill,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Brick and Tile Making Site,Pug Mill,"Stibbs Hill, St George",,,39756,"Pug Mill depicted on the 1888 1:2500 Ordnance Survey Plan. The mill was possibly associated with the various quarries that are recorded in the area. The OS plan indicates that the mill was approached by a track from the corner of Stibbs Hill and Raglan Lane. The form of the building is not clear form the plan, although an adjoining earthwork is recorded that is likely to be as associated waste heap.
The mill and waste heap are not recorded by the 1904 OS plan..","(51.457548, -2.5284848)"
700M,"Tenement C, 76-96 Victoria Street",359308,172662,House,Med,Medieval 1200-1540,,,,, ,0,,Domestic,Dwelling,House,76-96 Victoria Street,,,35703,"A medieval tenement, identified as Tenement C, which was recorded during archaeological excavation at Nos.76-96 Victoria Street in 1996 (BUAD 88).","(51.45147, -2.5869861)"
1064M,"Tenement D, 76-96 Victoria Street",359312,172661,House,Med,Medieval 1200-1540,,,,, ,0,,Domestic,Dwelling,House,76-96 Victoria Street,,,35703,"A medieval tenement, identified as Tenement D, which was identified during archaeological excavation at Nos.76-96 Victoria Street in 1996 (BUAD 88).","(51.451461, -2.5869284)"
1065M,"Tenement E, 76-96 Victoria Street",359313,172659,House,Med,Medieval 1200-1540,,,,, ,0,,Domestic,Dwelling,House,76-96 Victoria Street,,,35703,"A medieval tenement, identified as Tenement E, which was identified during archaeological excavation at Nos.76-96 Victoria Street in 1996 (BUAD 88).","(51.451443, -2.5869138)"
1066M,"Great Western Cabinet Works, Meadow Street",359437,173463,Furniture factory,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Factory,Furniture factory,Meadow Street,,,35723,"The Great Western Cabinet Works, Meadow Street. The factory was extant in 1882 at the time of the OS 1st edition map.","(51.458681, -2.5852219)"
1067M,Great Western Saw Mills,359392,173489,Saw mill,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Timber mill,Saw mill,Meadow Street,,,35723,"The Great Western Saw Mills, Meadow Street. The factory was extant in 1882 at the time of the OS 1st edition map.","(51.458911, -2.5858725)"
